artifact_dir,experiment_id,git_commit,repetitions,episodes,base_seed,seed_step,noise_per_episode,benign_rate,recurrent_benign_rate,recurrent_benign_profiles,backend_b_drift_profile,swap_enabled,swap_episode,swap_phase1_backend,swap_phase2_backend,blue_schema_mapper,schema_map_min_confidence,schema_cache_scope,schema_adapt_mode,backend_b_alias_mode,mcp_enabled,mcp_tool,llm_provider,gemini_model,anthropic_model,ollama_model,llm_timeout_sec,max_workers,memory_enabled
data/processed/wave_b_minimal/phase_s3_gemini_coldstart_w1,phase_s3r_gemini_coldstart_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,gemini,gemini-2.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_minimal/phase_s3_haiku_coldstart_w1,phase_s3r_haiku_coldstart_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,anthropic,gemini-2.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_minimal/phase_s3_qwen_coldstart_w1,phase_s3r_qwen_coldstart_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,ollama,gemini-2.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_minimal/phase_s3_gemini_coldstart_seed42000_w1,phase_s3_gemini_coldstart_seed42000_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,42000,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,gemini,gemini-2.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_minimal/phase_s3_haiku_coldstart_seed42000_w1,phase_s3_haiku_coldstart_seed42000_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,42000,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,anthropic,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_minimal/phase_s3_qwen_coldstart_seed42000_w1,phase_s3_qwen_coldstart_seed42000_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,42000,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,ollama,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_minimal/phase_s3_gemini_coldstart_seed90210_w1,phase_s3_gemini_coldstart_seed90210_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,90210,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,gemini,gemini-2.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_minimal/phase_s3_haiku_coldstart_seed90210_w1,phase_s3_haiku_coldstart_seed90210_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,90210,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,anthropic,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_minimal/phase_s3_qwen_coldstart_seed90210_w1,phase_s3_qwen_coldstart_seed90210_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,90210,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,ollama,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_minimal/phase_s3_gemini_ablation_clean_w1,phase_s3_gemini_ablation_clean_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,gemini,gemini-2.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
